title,slug,organization_name,facility_name,description,engage,content,featured_image,category,modes,formats,centerings,street_address,city,state,zip,region,country,latitude,longitude,phone,email,website,expiration_date,source_url,scraped_url
Medical Clinic (FQHC),,Outside In,,"Primary medical care for people who are unhoused or have limited access to healthcare, at Outside In's downtown Portland clinic. Low-barrier, welcoming care from an organization serving vulnerable Portlanders since 1968.","Call 503-535-3860 or visit the clinic at 1132 SW 13th Ave, Portland. General line: 503-535-3800.","<h2>Services</h2><p>Primary and preventive medical care, including an on-site pharmacy, for unhoused and underserved individuals.</p><h2>Who It's For</h2><p>People experiencing homelessness or with limited access to healthcare.</p>",,Medical,In Person; By Appointment Only,Services,Low Barrier,1132 SW 13th Ave,Portland,Oregon,97205,,United States,45.5176100,-122.6864992,503-535-3860,info@outsidein.org,https://outsidein.org/health-services/,,https://outsidein.org/health-services/,https://outsidein.org/
Behavioral Health Services,,Outside In,,Mental health and counseling support integrated with Outside In's medical and social services for unhoused and underserved people.,"Call 503-535-3800 or visit 1132 SW 13th Ave, Portland, to access behavioral health services.","<h2>Services</h2><p>Mental health counseling and psychiatric support, offered alongside medical care and harm-reduction services.</p><h2>Who It's For</h2><p>People needing accessible mental and behavioral health care, including those experiencing homelessness.</p>",,Mental & Behavioral Health,In Person; By Appointment Only,Services,Low Barrier,1132 SW 13th Ave,Portland,Oregon,97205,,United States,45.5176100,-122.6864992,503-535-3800,info@outsidein.org,https://outsidein.org/behavioral-health-services/,,https://outsidein.org/behavioral-health-services/,https://outsidein.org/
Harm Reduction & Substance User Engagement,,Outside In,,"Harm-reduction services and outreach for people who use drugs — supplies, engagement, and connection to care, meeting people where they are without judgment. Locations in downtown Portland, Clackamas, and Oregon City.","Call 503-535-3826 or visit 1219 SW Main St, Portland (also Clackamas and Oregon City).","<h2>Services</h2><p>Harm-reduction supplies and support, outreach, and low-barrier connection to medical and behavioral health care for people who use drugs.</p><h2>Locations</h2><ul><li>Downtown Portland: 1219 SW Main St</li><li>Clackamas: 8800 SE 80th Ave</li><li>Oregon City: 700 Molalla Ave</li></ul><h2>Who It's For</h2><p>People who use drugs — no abstinence required.</p>",,Recovery,In Person,Services,Low Barrier,1219 SW Main St,Portland,Oregon,97205,,United States,45.5181299,-122.6860367,503-535-3826,info@outsidein.org,https://outsidein.org/health-services/substance-user-engagement-services/,,https://outsidein.org/health-services/substance-user-engagement-services/,https://outsidein.org/
Young Adult Services,,Outside In,,"Comprehensive support for young adults experiencing homelessness — help with housing, meals, mentorship, and connection to Outside In's health and social services.",Call 503-535-3800 or visit outsidein.org/young-adult-services to connect a young person to services.,"<h2>Services</h2><p>Wraparound support for homeless young adults, including housing assistance, meals, mentorship, and access to medical and behavioral health care.</p><h2>Who It's For</h2><p>Young adults experiencing homelessness.</p>",,Case Management,In Person,Services,Youth & Children; Low Barrier,1132 SW 13th Ave,Portland,Oregon,97205,,United States,45.5176100,-122.6864992,503-535-3800,info@outsidein.org,https://outsidein.org/young-adult-services/,,https://outsidein.org/young-adult-services/,https://outsidein.org/
Gender-Affirming Hormone Therapy,,Outside In,,"Clinically-indicated hormone therapy and affirming health care for transgender and gender-diverse people, provided through Outside In's medical clinic.","Call 503-535-3860 or visit 1132 SW 13th Ave, Portland, to access gender-affirming care.","<h2>Services</h2><p>Clinically-indicated gender-affirming hormone therapy and related supportive health care in a welcoming, affirming setting.</p><h2>Who It's For</h2><p>Transgender and gender-diverse individuals.</p>",,Medical,In Person; By Appointment Only,Services,LGBTQIA2S+,1132 SW 13th Ave,Portland,Oregon,97205,,United States,45.5176100,-122.6864992,503-535-3860,info@outsidein.org,https://outsidein.org/health-services/clinically-indicated-hormone-therapy/,,https://outsidein.org/health-services/clinically-indicated-hormone-therapy/,https://outsidein.org/
Native-Centered Recovery Support,,Painted Horse Recovery,,"Culturally-specific recovery support centering Native Americans (open to all) — drop-in recovery centers with Native-based AA/NA and 'wellbriety' meetings, skill-building groups, recovery events, and culture nights for Native families. Centers in Portland, Salem, Roseburg, and Medford, open daily 2pm–10pm.","Drop in at the Portland center (Spence Community Center, 10209 SE Division St) daily 2–10pm, or call 971-205-5144. Admin: 971-509-2391.","<h2>Services</h2><ul><li>Native-based AA, NA, and wellbriety meetings</li><li>Recovery events and skill-building groups</li><li>Culture nights for Native American families</li><li>Drop-in recovery center space</li></ul><h2>Locations (open daily 2pm–10pm)</h2><ul><li>Portland: Spence Community Center, 10209 SE Division St — 971-205-5144</li><li>Salem: BuffaloBoy Community Center, 1800 State St — 971-719-2155</li><li>Roseburg: Chief Barrett Community Center, 1941 NE Stephens St — 541-637-0216</li><li>Medford: Archambault Community Center, 1014 N Riverside Ave — 458-226-2120</li></ul><h2>Who It's For</h2><p>Anyone seeking recovery, with a focus on Native Americans and culturally-centered programming.</p>",,Peer Support,In Person,Services,BIPOC; People in Recovery,10209 SE Division St,Portland,Oregon,97266,,United States,45.5047641,-122.5583029,971-205-5144,love.richardson@paintedhorserecovery.org,https://www.paintedhorserecovery.org/,,https://www.paintedhorserecovery.org/,https://www.paintedhorserecovery.org/
Family Village Shelter,,Path Home,,"A year-round shelter for families with children experiencing homelessness, with private sleeping spaces, food, showers, laundry, computers, and clothing — supported by hundreds of volunteers.",Call 211 and ask about Family Shelter to access Path Home's Family Village.,"<h2>Services</h2><p>Safe, year-round family shelter offering private sleeping spaces, meals, showers, laundry, computer access, and clothing while families work toward permanent housing.</p><h2>Who It's For</h2><p>Families with children experiencing homelessness.</p><h2>How to Access</h2><p>Call 211 and ask about Family Shelter.</p>",,Shelter,In Person,Services,Families; Youth & Children,6220 SE 92nd Ave,Portland,Oregon,97266,,United States,45.4779241,-122.5685004,211,,https://www.path-home.org/,,https://www.path-home.org/,https://www.path-home.org/
Rapid Rehousing & Homelessness Prevention,,Path Home,,"Housing First rapid rehousing (move families into housing quickly with 6–12 months of rent assistance and case management), plus prevention aid — security deposits, moving costs, back rent within 72 hours — and unconditional cash assistance.","Call 211 and ask about family housing and prevention services, or visit path-home.org.","<h2>Services</h2><ul><li><b>Housing First / Rapid Rehousing:</b> quick move-in with rent assistance and case management for 6–12 months</li><li><b>Prevention:</b> deposits, moving costs, and back rent for families facing eviction — often within 72 hours</li><li><b>Cash Transfer:</b> unconditional cash assistance to stabilize families</li></ul><h2>Who It's For</h2><p>Families with children experiencing or at risk of homelessness (about 600 families a year).</p>",,Rental Assistance,In Person,Services,Families; Youth & Children,6220 SE 92nd Ave,Portland,Oregon,97266,,United States,45.4779241,-122.5685004,211,,https://www.path-home.org/,,https://www.path-home.org/,https://www.path-home.org/
Medical Detox (Withdrawal Management),,Pacific Crest Trail Detox,,"An 8-day non-hospital medical detox in a home-like setting, with medication-assisted treatment to manage withdrawal from opioids, benzodiazepines, alcohol, cocaine, meth, marijuana, and prescription painkillers. Accepts many insurance plans (not OHP).","Call (855) 770-0577 for a confidential assessment and insurance verification. Located at 10600 SE McLoughlin Blvd, Suite 207, Milwaukie.","<h2>Program</h2><p>Medically-supervised 8-day detox in a comfortable, home-like environment, using medication-assisted treatment where appropriate to ease withdrawal safely.</p><h2>Substances Treated</h2><p>Opioids, benzodiazepines, alcohol, cocaine, methamphetamine, marijuana, and prescription painkillers.</p><h2>Insurance</h2><p>In-network with Aetna, Regence, First Health, Moda, Providence, Tricare, TriWest, Healthnet, and Beacon. Does not accept OHP at this time.</p>",,Detox,In Person,Services,People in Recovery,"10600 SE McLoughlin Blvd, Suite 207",Milwaukie,Oregon,97222,,United States,45.4459484,-122.6423845,855-770-0577,,https://pctdetox.com/,,https://pctdetox.com/,https://pctdetox.com/
Outpatient & Day Treatment (PHP/IOP),,Pacific Crest Trail Detox,,"Continued addiction treatment after detox — Partial Hospitalization (PHP), Intensive Outpatient (IOP), and standard outpatient programs, with individual and group therapy, gender-specific tracks, DUII treatment, and alumni aftercare.",Call (855) 770-0577 to arrange treatment and verify insurance.,"<h2>Programs</h2><ul><li>Partial Hospitalization Program (PHP)</li><li>Intensive Outpatient Program (IOP)</li><li>Standard outpatient</li><li>Individual and group therapy</li><li>Gender-specific programs (men's and women's)</li><li>DUII treatment</li><li>Aftercare and alumni services</li></ul><h2>Who It's For</h2><p>People continuing addiction recovery after detox, including those with co-occurring mental health conditions.</p>",,Recovery,In Person,Services,People in Recovery,"10600 SE McLoughlin Blvd, Suite 207",Milwaukie,Oregon,97222,,United States,45.4459484,-122.6423845,855-770-0577,,https://pctdetox.com/,,https://pctdetox.com/,https://pctdetox.com/
